127.0.0.1 - - [08/May/2022:16:35:24 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2022:16:35:25 +0800] "GET /springmvc/index.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [08/May/2022:16:35:26 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2022:16:35:32 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [08/May/2022:16:35:32 +0800] "GET /springmvc/css/exam.css HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [08/May/2022:16:35:32 +0800] "GET /springmvc/js/exam.js HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [08/May/2022:16:38:31 +0800] "POST /springmvc/mvc/case03/exam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:16:38:31 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [08/May/2022:17:02:47 +0800] "GET /springmvc/WEB-INF/views/case03/exam.jsp HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/May/2022:19:34:57 +0800] "GET /springmvc/mvc/case03/exam/0 HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [08/May/2022:20:17:26 +0800] "GET /springmvc/mvc/case03/exam/0 HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [08/May/2022:20:17:26 +0800] "GET /springmvc/mvc/case03/exam/0 HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [08/May/2022:20:17:26 +0800] "GET /springmvc/mvc/case03/exam/0 HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [08/May/2022:20:17:48 +0800] "POST /springmvc/mvc/case03/exam/0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:17:48 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [08/May/2022:20:17:52 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:06 +0800] "POST /springmvc/mvc/case03/exam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:06 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:09 +0800] "GET /springmvc/mvc/case03/exam/1 HTTP/1.1" 200 3412
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:14 +0800] "POST /springmvc/mvc/case03/exam/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:14 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:23 +0800] "GET /springmvc/mvc/case03/exam/0 HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:37 +0800] "POST /springmvc/mvc/case03/exam/0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:18:37 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [08/May/2022:20:19:04 +0800] "POST /springmvc/mvc/case03/exam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:19:04 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [08/May/2022:20:19:07 +0800] "GET /springmvc/mvc/case03/exam/2 HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [08/May/2022:20:19:35 +0800] "POST /springmvc/mvc/case03/exam/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:19:35 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [08/May/2022:20:20:55 +0800] "GET /springmvc/mvc/case03/exam/2 HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [08/May/2022:20:20:56 +0800] "POST /springmvc/mvc/case03/exam/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:20:20:56 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [08/May/2022:22:27:08 +0800] "POST /springmvc/mvc/case03/exam/0/exam_note HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2022:22:27:09 +0800] "GET /springmvc/mvc/case03/exam/ HTTP/1.1" 200 3344
